"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenge.css", "CSS", 0, 0, 0, 0, 53, 0, 15, 68
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenge.js", "JavaScript", 0, 299, 0, 0, 0, 1, 24, 324
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenges.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenges.js", "JavaScript", 0, 255, 0, 0, 0, 11, 15, 281
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startups\pages\StartupProfile.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startups\pages\Startups.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\students\pages\StudentProfile.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\students\pages\Students.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\package-lock.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\jkyap\Desktop\git_projects\orbital\testCase.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\testCase_problematic.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"Total", "-", 1, 4475, 15559, 23, 777, 347, 816, 21998
